task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
8	d6/ec6c77	224900	NF_RIMA:RIMA:PREPROCESS_STAR:STAR_ALIGN (WT_REP2)	COMPLETED	0	2024-08-22 11:42:34.428	6m 44s	6m 43s	100.1%	813 MB	4.5 GB	51.9 MB	11.8 MB
21	98/f0b46c	263524	NF_RIMA:RIMA:PREPROCESS_STAR:STAR_METRICS (WT_REP2)	COMPLETED	0	2024-08-22 11:49:18.462	129ms	40ms	119.1%	0	0	278.9 KB	2.2 KB
22	05/065b75	263537	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_SORT (WT_REP2)	COMPLETED	0	2024-08-22 11:49:18.480	1.4s	361ms	199.3%	40.2 MB	1.9 GB	13.4 MB	10.1 MB
23	da/a03db7	263763	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_INDEX (WT_REP2)	COMPLETED	0	2024-08-22 11:49:19.897	1.1s	101ms	119.8%	6.8 MB	223 MB	3.7 MB	11.7 KB
7	38/12e8d5	224915	NF_RIMA:RIMA:PREPROCESS_STAR:STAR_ALIGN (WT_REP1)	COMPLETED	0	2024-08-22 11:42:34.460	9m 22s	9m 20s	155.4%	855.3 MB	4.5 GB	100.7 MB	23.9 MB
24	0f/2453ad	268666	NF_RIMA:RIMA:PREPROCESS_STAR:STAR_METRICS (WT_REP1)	COMPLETED	0	2024-08-22 11:51:56.253	126ms	39ms	106.1%	0	0	278.9 KB	2.2 KB
25	9a/6b1bb8	268677	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_SORT (WT_REP1)	COMPLETED	0	2024-08-22 11:51:56.268	1.7s	684ms	211.6%	77.5 MB	1.9 GB	27.1 MB	20.5 MB
26	88/bd3150	268907	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_INDEX (WT_REP1)	COMPLETED	0	2024-08-22 11:51:58.007	1.2s	174ms	126.3%	6.8 MB	223 MB	7.3 MB	16.1 KB
27	50/3b3ce8	269064	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_STATS (RAP1_UNINDUCED_REP1)	COMPLETED	0	2024-08-22 11:51:59.348	1.2s	167ms	116.1%	7.5 MB	224.3 MB	1.7 MB	49.6 KB
29	95/418104	269042	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_STATS (RAP1_IAA_30M_REP1)	COMPLETED	0	2024-08-22 11:51:59.323	1.3s	280ms	119.0%	7.5 MB	224.3 MB	3.9 MB	77.4 KB
30	4a/a065a5	269038	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_STATS (WT_REP2)	COMPLETED	0	2024-08-22 11:51:59.316	1.3s	282ms	121.6%	7.5 MB	224.3 MB	3.7 MB	78 KB
28	f0/4257ba	269050	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_STATS (RAP1_UNINDUCED_REP2)	COMPLETED	0	2024-08-22 11:51:59.331	1.4s	304ms	119.2%	7.2 MB	224.3 MB	3.1 MB	53.8 KB
31	75/455fd0	269057	NF_RIMA:RIMA:PREPROCESS_STAR:SAMTOOLS_STATS (WT_REP1)	COMPLETED	0	2024-08-22 11:51:59.340	1.6s	532ms	121.4%	7.5 MB	224.3 MB	7.3 MB	77.3 KB
32	b0/1ca495	269669	NF_RIMA:RIMA:MULTIQC	COMPLETED	0	2024-08-22 11:52:00.984	4.1s	3s	342.2%	68.2 MB	4.4 GB	49.4 MB	18.9 MB
